cofips	deaths	births	low_weight	black	hispanic	others	gini	affluence	disadvantaged	stability	safety
01001	6	643	60	17.059376	0.902201	2.443269	0.41158	0.26180	-0.35309	0.59857	0.85643
01003	14	1877	177	10.065876	1.667201	2.153616	0.43994	0.75793	-0.70619	0.10054	0.12100
01005	4	367	40	46.142985	1.752876	1.177767	0.50237	-0.87599	1.11388	0.53962	0.51776
01007	3	287	20	22.097378	0.869106	0.845097	0.43134	-0.98668	0.39402	1.40230	-0.09535
01009	6	665	53	1.087723	5.152477	1.381703	0.42008	-0.59033	-0.71656	1.12529	-0.35888
01011	1	156	20	72.076148	3.064709	0.998805	0.48791	-1.74979	2.58422	0.66486	-0.31451
01013	2	303	30	40.908454	0.551428	0.495350	0.53839	-0.83273	1.60051	0.74260	0.01703
01015	11	1507	150	18.155173	1.703356	2.030308	0.46909	-0.19587	0.10691	-0.13501	1.25852
01017	2	437	47	38.146133	0.748982	0.661509	0.45442	-1.01730	0.50250	0.53072	0.26372
01019	2	260	23	5.306820	0.967150	1.058863	0.43024	-0.93968	-0.54767	1.42605	-0.24148
01021	6	529	55	10.506908	2.566110	1.389134	0.41335	-0.75098	-0.26510	1.29122	0.01273
01023	1	210	19	43.574928	0.904409	0.891848	0.50018	-0.87257	0.95572	2.16020	-0.77787
01025	3	407	39	42.659777	0.620806	0.796641	0.46819	-0.63645	1.24083	1.63175	0.19319
01027	2	155	12	16.128806	1.452224	1.122492	0.41672	-1.27366	0.06808	1.20798	-0.15455
01029	1	160	15	3.632373	1.132904	1.649791	0.42329	-0.97228	-0.56146	1.52530	-0.65175
01031	3	526	56	18.518858	2.593145	2.976040	0.45897	0.28262	0.03019	-0.35907	0.79212
01033	6	603	70	16.788520	0.980285	1.193074	0.46468	-0.27729	-0.31885	0.20890	-0.33569
01035	2	177	15	43.757541	0.468451	0.610405	0.48925	-1.25016	1.55598	1.70292	0.10492
01037	2	133	14	35.125389	0.360597	0.852319	0.44665	-1.20995	0.05014	1.79426	-0.19422
01039	3	461	43	12.014031	1.015121	1.408413	0.47728	-0.58341	0.26563	0.72187	0.13710
01041	1	181	16	25.356751	0.783022	0.534211	0.48356	-0.88377	0.56334	1.07849	1.02121
01043	5	968	86	0.996348	2.033995	1.770711	0.45192	-0.43829	-0.74791	0.57668	0.61028
01045	4	778	62	20.342364	3.244520	3.657717	0.43429	-0.54767	0.39866	-0.90365	0.77629
01047	8	768	89	63.138143	0.498221	1.043891	0.52467	-0.72296	2.66732	-0.01422	-0.42227
01049	8	936	94	1.593434	5.351269	2.313349	0.46563	-0.97382	-0.33537	0.74790	-0.15948
01051	8	935	88	20.604487	1.130947	1.780672	0.40789	0.20746	-0.50808	0.31563	0.18595
01053	5	494	47	30.345994	1.053590	4.765869	0.47231	-0.85312	0.65613	0.69947	0.03376
01055	10	1262	120	14.155366	1.595801	2.090683	0.45461	-0.33035	0.03183	0.12847	0.57887
01057	2	209	15	12.030278	0.519059	0.935388	0.43554	-1.05560	0.03751	0.94294	0.13923
01059	4	416	37	4.137975	7.167793	1.207443	0.47124	-0.96505	-0.01270	0.32342	-0.26706
01061	1	294	22	11.391865	1.238162	1.191585	0.46601	-0.99359	0.33327	1.16276	-0.04995
01063	1	156	18	80.559455	0.561460	0.300782	0.57602	-1.12911	2.74607	1.44693	-0.13590
01065	4	237	25	58.911842	0.739017	0.803026	0.47288	-1.30801	1.54805	1.70081	-0.31841
01067	1	236	21	31.716738	1.912937	0.668302	0.46598	-0.49114	0.29853	1.28864	1.05563
01069	11	1315	107	24.249045	1.106018	1.793055	0.46883	0.31435	0.05383	-0.57964	1.36521
01071	5	660	62	3.918333	1.147869	3.667989	0.43381	-0.72136	-0.44351	0.78628	0.44188
01073	99	9167	1029	39.016414	1.583875	2.004087	0.48628	1.03492	0.26276	-1.03436	0.44594
01075	1	161	12	11.563129	0.823692	1.043763	0.44684	-1.18181	0.06782	0.90037	-0.44137
01077	7	975	109	9.923152	0.931042	1.476707	0.46724	0.13365	-0.22205	-0.12072	-0.27369
01079	4	406	40	13.194265	0.660863	8.855558	0.47142	-0.89364	-0.11367	1.48885	-0.43819
01081	13	1352	121	22.223091	1.689084	2.932437	0.49772	0.84281	0.17757	-1.41705	-0.15240
01083	5	836	83	13.411292	2.210853	1.912419	0.43176	0.16541	-0.29277	0.28558	0.47298
01085	2	211	20	73.064648	0.809025	0.326579	0.53254	-1.06182	2.69669	2.41125	-0.33267
01087	3	258	27	84.219042	0.680357	1.398050	0.55622	-0.38121	2.49618	-0.37319	-0.40578
01089	27	3592	385	22.345862	1.982653	4.694977	0.43806	2.16687	-0.26187	-1.12378	-0.03546
01091	4	326	32	51.386486	0.900661	0.816363	0.50763	-0.56409	1.28488	1.38352	0.65922
01093	3	375	26	3.447171	1.121292	1.102070	0.46816	-1.02932	0.07973	0.80523	0.76312
01095	15	1288	121	1.145553	5.084457	1.742652	0.46037	-0.26468	-0.19174	-0.02674	0.80209
01097	52	6032	702	33.275561	1.103933	3.126477	0.47689	0.12865	0.75673	-0.60054	0.27505
01099	2	340	39	40.186647	0.439895	2.121362	0.48420	-0.76917	0.79641	1.49441	-0.36455
01101	27	3408	357	48.520872	1.108228	2.038388	0.46991	1.14571	0.67015	-1.44372	0.24900
01103	12	1502	129	11.017071	3.260282	2.583195	0.44488	0.32578	-0.35795	-0.26685	0.01474
01105	1	212	22	67.178147	1.256218	0.885254	0.48927	-1.34697	3.10003	1.00489	0.07898
01107	2	278	29	42.794405	0.391427	0.682610	0.47290	-0.99709	1.27084	1.31083	-0.33756
01109	6	422	47	36.490458	1.023476	2.320554	0.50385	-0.42420	1.19412	-0.08953	-0.08628
01111	3	275	30	21.041108	1.800715	1.465594	0.43829	-1.07424	0.04731	1.12390	0.50040
01113	6	608	71	40.258461	1.479219	2.612750	0.44230	-0.99043	0.79882	-0.76356	1.09724
01115	8	834	82	8.478268	0.654907	1.286645	0.42681	-0.25079	-0.58262	1.31244	-0.02123
01117	16	2436	206	7.468613	2.011264	1.857034	0.42857	2.73189	-1.23841	-0.16275	-0.16931
01119	4	215	18	72.503041	1.175835	0.587917	0.52008	-1.24625	2.93843	1.02869	-0.14266
01121	11	1078	123	31.572067	0.743268	1.245004	0.46762	-0.57886	0.44882	0.63091	0.12308
01123	4	486	52	25.477999	0.390597	0.863171	0.47545	-0.33880	0.13824	0.56235	1.12606
01125	23	2213	249	28.975891	1.250644	2.284155	0.48722	0.73285	0.15315	-1.23055	1.16767
01127	7	889	84	6.277488	0.944664	1.295377	0.46371	-0.78022	-0.13065	1.18514	0.06715
01129	2	227	22	27.275239	0.486268	7.603470	0.43440	-1.11121	0.37337	2.46823	-0.07369
01131	2	222	21	72.161117	0.204809	0.311007	0.56085	-1.52670	3.89541	2.10859	-0.01888
01133	3	256	28	0.322022	1.521555	1.465201	0.48442	-0.97488	-0.02820	1.28766	0.42449
04001	11	1222	95	0.207424	4.194575	78.131167	0.47887	-1.17823	5.16219	0.91911	-1.04145
04003	17	1784	135	4.120420	30.735850	5.166660	0.43220	0.00869	0.43902	-0.93485	0.15824
04005	13	1952	170	1.118466	10.911279	30.294876	0.43436	0.95793	0.59156	-1.56911	0.38164
04007	6	741	55	0.227915	16.460505	14.309925	0.44835	-0.44863	0.78224	0.39863	0.68191
04009	2	438	29	2.006629	26.844636	15.996297	0.42830	-0.97882	1.94706	0.32194	-0.23900
04011	1	86	7	0.362700	43.313443	2.995203	0.35870	-0.62084	-0.06614	-1.32114	-0.37281
04012	2	221	10	0.720264	22.449911	13.116916	0.44608	-0.91830	0.32927	1.31895	-0.37166
04013	386	58930	4199	3.456994	24.846874	5.507285	0.43912	1.33256	-0.39255	-1.80042	0.61251
04015	22	2148	156	0.485706	10.964833	4.510682	0.43015	-0.73528	0.07029	-0.20589	0.58921
04017	15	1708	145	0.860778	8.010670	48.941213	0.45468	-0.90625	2.80945	0.51255	-0.21694
04019	98	12754	956	2.731509	29.376258	6.501483	0.45429	1.01971	0.01338	-1.53369	0.18734
04021	24	2915	237	2.606175	29.924274	8.677605	0.42472	-0.57622	0.64464	0.24967	-0.13452
04023	4	793	63	0.114640	80.875954	1.745655	0.48374	-0.64387	1.21316	-0.75182	-0.03039
04025	8	1899	144	0.251318	9.730356	3.469499	0.44452	0.38496	-0.57124	-0.65308	0.17892
04027	20	3352	198	1.832202	50.509292	3.209478	0.43802	-0.56156	1.05037	-0.15509	0.02857
05001	4	280	31	23.601137	0.361463	1.094029	0.46916	-0.47096	0.55318	-0.31065	0.20754
05003	3	331	26	26.391012	3.226073	1.685324	0.45036	-0.75903	0.50068	0.57126	1.14583
05005	2	335	29	0.023446	1.065493	1.779295	0.42976	-0.54787	-0.77423	0.23983	0.64943
05007	18	2579	185	0.468039	8.613744	4.241685	0.41715	0.44392	-0.79641	-1.19595	1.35243
05009	5	440	29	0.097207	1.266643	1.905856	0.46249	-0.59698	-0.19385	-0.45019	2.61580
05011	2	168	15	28.650794	8.142857	0.785714	0.49724	-0.78095	1.36331	0.06200	-0.60926
05013	0	71	8	24.059889	1.236072	1.027159	0.47116	-1.05303	-0.15724	1.31830	-0.46611
05015	3	322	25	0.063099	10.344284	2.027054	0.47622	-0.44560	-0.16315	-0.35535	0.36898
05017	1	194	16	53.467451	2.798045	1.275058	0.52474	-0.74741	2.08235	0.05057	0.04144
05019	2	270	21	22.364733	2.221184	1.783742	0.47149	-0.19671	0.12950	-0.97710	1.36952
05021	1	188	15	0.051110	0.522460	1.453802	0.47330	-1.15324	-0.14069	-0.03985	-0.38230
05023	1	240	24	0.274474	1.293354	1.060467	0.43815	-0.34897	-0.57535	0.57943	0.05237
05025	1	118	11	13.008984	1.341734	1.271730	0.43088	-0.72571	-0.22164	1.29108	-0.74781
05027	3	325	29	36.460571	0.902238	1.089716	0.48085	-0.30499	0.60641	-0.14027	3.92467
05029	2	267	18	13.075334	2.030881	1.858773	0.45083	-0.58567	0.20485	0.59499	-0.19516
05031	13	1262	106	7.732385	1.850319	2.035351	0.45133	0.17818	0.01239	-1.57539	3.12463
05033	6	751	61	0.758728	3.098766	5.198415	0.41504	-0.89562	0.13881	-0.25882	0.11587
05035	15	938	115	46.404278	1.621909	1.568828	0.46321	-0.60049	1.50651	-1.40415	2.47560
05037	2	261	29	23.389327	1.485199	0.839906	0.48804	-0.67406	0.86430	0.06875	0.28386
05039	0	97	12	41.302932	1.769815	0.304017	0.50265	-1.05690	0.55807	0.27416	3.45132
05041	1	258	26	46.033505	2.281468	1.922952	0.49429	-0.86124	2.09074	-0.55003	0.47667
05043	2	230	24	26.625007	2.205843	1.223095	0.49600	-0.18653	0.63858	-0.12650	0.23445
05045	9	1271	95	8.402121	1.856674	2.467040	0.43145	0.64261	-0.15480	-1.06565	1.77716
05047	2	239	19	0.905970	1.592482	3.252490	0.42650	-0.81595	-0.15170	0.39771	-0.41246
05049	1	116	9	0.068717	0.455248	1.855351	0.48609	-0.81948	0.18818	0.76434	-1.00503
05051	10	1094	98	7.858700	2.364082	2.493528	0.45955	0.10807	-0.20158	-0.54608	1.01350
05053	2	175	15	2.320214	0.850340	1.488095	0.42084	-0.44615	-0.77210	1.08379	1.20672
